image, euclidian_dist, bhattacharyya_istance
190.jpg, , 
183.jpg, , 
46.jpg, archivePPMPGM/archive500ppm/46.ppm, archivePPMPGM/archive500ppm/46.ppm
136.jpg, , 
52.jpg, archivePPMPGM/archive500ppm/52.ppm, archivePPMPGM/archive500ppm/52.ppm
189.jpg, , 
210.jpg, , 
105.jpg, , 
272.jpg, , 
151.jpg, , 
149.jpg, , 
489.jpg, , 
206.jpg, , 
108.jpg, , 
134.jpg, , 
433.jpg, , 
168.jpg, , 
253.jpg, , 
116.jpg, , 
311.jpg, , 
11.jpg, archivePPMPGM/archive500ppm/11.ppm, archivePPMPGM/archive500ppm/11.ppm
261.jpg, , 
444.jpg, , 
395.jpg, , 
294.jpg, , 
461.jpg, , 
462.jpg, , 
268.jpg, , 
397.jpg, , 
192.jpg, , 
438.jpg, , 
255.jpg, , 
290.jpg, , 
267.jpg, , 
366.jpg, , 
150.jpg, , 
482.jpg, , 
242.jpg, , 
287.jpg, , 
85.jpg, archivePPMPGM/archive500ppm/85.ppm, archivePPMPGM/archive500ppm/85.ppm
118.jpg, , 
448.jpg, , 
87.jpg, archivePPMPGM/archive500ppm/87.ppm, archivePPMPGM/archive500ppm/87.ppm
481.jpg, , 
264.jpg, , 
357.jpg, , 
47.jpg, archivePPMPGM/archive500ppm/47.ppm, archivePPMPGM/archive500ppm/47.ppm
197.jpg, , 
398.jpg, , 
424.jpg, , 
110.jpg, , 
367.jpg, , 
285.jpg, , 
236.jpg, , 
417.jpg, , 
27.jpg, archivePPMPGM/archive500ppm/27.ppm, archivePPMPGM/archive500ppm/27.ppm
18.jpg, archivePPMPGM/archive500ppm/18.ppm, archivePPMPGM/archive500ppm/18.ppm
76.jpg, archivePPMPGM/archive500ppm/76.ppm, archivePPMPGM/archive500ppm/76.ppm
354.jpg, , 
7.jpg, archivePPMPGM/archive500ppm/7.ppm, archivePPMPGM/archive500ppm/7.ppm
336.jpg, , 
379.jpg, , 
79.jpg, archivePPMPGM/archive500ppm/79.ppm, archivePPMPGM/archive500ppm/79.ppm
288.jpg, , 
114.jpg, , 
387.jpg, , 
145.jpg, , 
449.jpg, , 
6.jpg, archivePPMPGM/archive500ppm/6.ppm, archivePPMPGM/archive500ppm/6.ppm
430.jpg, , 
464.jpg, , 
300.jpg, , 
31.jpg, archivePPMPGM/archive500ppm/31.ppm, archivePPMPGM/archive500ppm/31.ppm
351.jpg, , 
